accepted_writes,avg_convergence_time,avg_judge_latency,avg_read_latency,avg_stale_version_gap,avg_visibility_lag,avg_write_latency,bus_latency,cache_hit_rate,cache_hits,cache_misses,conflict_checks,contested_ratio,contested_writes,deterministic_profile,duration,fallback_count,invalidations,judge,judge_mode,judge_provider_breakdown,llm_failure_categories,max_stale_version_gap,monotonic_read_violations,num_agents,num_artifacts,operations,p95_stale_version_gap,protocol,read_latency_p50,read_latency_p95,read_latency_p99,read_your_writes_checks,read_your_writes_success_rate,read_your_writes_successes,reason_code_counts,regime,run_error,run_status,scale,seed,stale_read_rate,stale_reads,sync_requests,total_events,write_latency_p50,write_latency_p95,write_latency_p99
0,0.0,,3.0,0.0,12.0,12.0,1,0.3333333333333333,4,8,2,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 2}",{},0,0,3,4,14,0.0,eventual,4.0,4.0,4.0,1,0.0,0,"{""lower_confidence_than_accepted"": 1, ""no_contradiction"": 1}",low,,ok,small,7,0.0,0,0,30,12.0,12.0,12.0
0,10.0,,2.772727272727273,1.25,12.0,12.0,1,0.4090909090909091,9,13,5,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 5}",{},2,2,3,4,27,1.0,eventual,4.0,4.0,4.0,3,0.3333333333333333,1,"{""lower_confidence_than_accepted"": 3, ""no_contradiction"": 2}",low,,ok,small,17,0.18181818181818182,4,0,59,12.0,12.0,12.0
0,0.0,,2.875,1.0,12.0,12.0,1,0.375,3,5,2,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 2}",{},1,0,3,4,10,1.0,eventual,4.0,4.0,4.0,1,1.0,1,"{""lower_confidence_than_accepted"": 2}",low,,ok,small,29,0.125,1,0,22,12.0,12.0,12.0
0,9.0,,2.8260869565217392,1.3333333333333333,12.0,12.0,1,0.391304347826087,9,14,3,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 3}",{},2,0,5,7,26,1.0,eventual,4.0,4.0,4.0,3,0.6666666666666666,2,"{""lower_confidence_than_accepted"": 2, ""no_contradiction"": 1}",low,,ok,medium,7,0.13043478260869565,3,0,55,12.0,12.0,12.0
0,24.0,,2.56,1.0,12.0,12.0,1,0.48,12,13,3,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 3}",{},1,1,5,7,28,1.0,eventual,4.0,4.0,4.0,1,1.0,1,"{""lower_confidence_than_accepted"": 2, ""no_contradiction"": 1}",low,,ok,medium,17,0.12,3,0,59,12.0,12.0,12.0
0,0.0,,3.357142857142857,0.0,12.0,12.0,1,0.21428571428571427,3,11,2,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 2}",{},0,0,5,7,16,0.0,eventual,4.0,4.0,4.0,0,0.0,0,"{""lower_confidence_than_accepted"": 2}",low,,ok,medium,29,0.0,0,0,34,12.0,12.0,12.0
0,18.0625,,2.9285714285714284,1.0,12.0,12.0,1,0.35714285714285715,15,27,10,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 10}",{},1,0,8,12,52,1.0,eventual,4.0,4.0,4.0,3,0.6666666666666666,2,"{""lower_confidence_than_accepted"": 6, ""no_contradiction"": 4}",low,,ok,large,7,0.3333333333333333,14,0,114,12.0,12.0,12.0
0,32.333333333333336,,3.3617021276595747,0.0,12.0,12.0,1,0.2127659574468085,10,37,4,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 4}",{},0,0,8,12,51,0.0,eventual,4.0,4.0,4.0,0,0.0,0,"{""lower_confidence_than_accepted"": 4}",low,,ok,large,17,0.0,0,0,106,12.0,12.0,12.0
0,0.0,,3.375,1.0,12.0,12.0,1,0.20833333333333334,5,19,5,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 5}",{},1,0,8,12,29,1.0,eventual,4.0,4.0,4.0,0,0.0,0,"{""lower_confidence_than_accepted"": 4, ""no_contradiction"": 1}",low,,ok,large,29,0.041666666666666664,1,0,63,12.0,12.0,12.0
0,3.8,,1.75,1.2142857142857142,12.0,12.0,1,0.75,36,12,15,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 15}",{},2,3,3,4,63,2.0,eventual,1.0,4.0,4.0,15,0.2,3,"{""lower_confidence_than_accepted"": 6, ""no_contradiction"": 9}",medium,,ok,small,7,0.2916666666666667,14,0,141,12.0,12.0,12.0
